@relation 'city_day_new-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-2,5,7-8,12-14,16'

@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
20.19,?,18.13,10.41,15.01,4.9,300
10.45,?,17.81,12.59,14.26,5.87,309
29.87,?,14.69,13.53,14.56,9.6,316
60.18,?,13.25,8.64,15.3,13.19,296
85.1,?,12.91,8.14,14.51,12.45,240
55.55,?,13.45,8.38,16.6,11.84,220
170.22,?,17.88,15.47,14.21,10.05,460
35.05,?,16.07,7.66,16.13,9.81,341
37.68,?,9.49,6.39,16.15,13.7,216
32.78,?,12.1,6.08,12.29,13.13,174
53.5,?,14.19,12,16.32,5.48,252
48.24,?,15.52,10.91,16.16,5.98,283
63.27,?,13.23,8.82,24.81,8.68,282
40.43,?,10.29,7.42,12.24,5,189
31.15,?,9.94,8.91,21.48,12.97,204
33.76,?,12.22,9.15,17.68,8.36,207
35.95,?,9.75,10.05,16.66,8.61,218
58.07,?,8.67,10.51,21.2,19.87,243
46.04,?,8.75,9.72,17.27,10.35,219
52.27,?,9.23,10.79,19.62,9.14,247
46.68,?,9.3,10.08,17.77,15.97,235
44.59,?,7.39,10.47,17.62,11.2,234
30.81,?,7.86,9.36,17.58,15.72,217
47.67,?,8.39,9.63,16.95,18.89,222
35.69,?,8.14,9.38,16.72,14.63,241
36.44,?,7.07,9.59,17.76,14.99,225
33.83,?,7.82,10.14,17.93,13.9,241
34.23,?,7.14,10.17,18.76,13.79,237
52.15,?,7.15,10.7,16.32,14.67,251
35.99,?,8.65,9.91,19.29,18.16,220
37.93,?,9.2,9.75,19.07,15.42,221
31.94,?,7.84,9.5,16.87,14.27,226
18.04,?,7.02,7.3,15.49,19,208
27.9,?,9.55,9.52,14.48,21.74,190
36.51,?,10.68,10.07,18.22,22.56,250
55.71,?,12.86,11.17,17.75,21.14,280
57.01,?,11.99,13.68,18.36,20.81,306
